Country_code_A3,Name,year,co2_gg,co2_mt,ch4_gg,ch4_mt,n2o_gg,n2o_mt,gdp_annual_growth,post_paris,co2_mt_mean,co2_gg_mean,rank
KOR,"Korea, Republic of",1991,292360.92777102,292.36092777102,1397.5123682879,1.3975123682879,48.149856149736,.048149856149736,10.778056,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1992,321092.18871498,321.09218871498,1380.3907037368,1.3803907037368,53.29619154634,.05329619154634,6.1986427,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1993,349635.31239676,349.63531239676,1330.4901551291,1.3304901551291,47.540431154872,.047540431154872,6.8774743,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1994,377449.76609602,377.44976609602,1322.1283619521,1.3221283619521,52.148254619794,.052148254619794,9.2686663,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1995,407088.32861899,407.08832861899,1315.9538681832,1.3159538681832,54.757347026969,.054757347026969,9.6145658,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1996,436496.61970594,436.49661970594,1372.2430665962,1.3722430665962,62.202872389655,.062202872389655,7.8907032,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1997,458862.69401345,458.86269401345,1375.0477987441,1.3750477987441,75.599701224714,.075599701224714,6.1705523,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1998,393614.14552556,393.61414552556,1319.2413372602,1.3192413372602,65.313203843826,.065313203843826,-5.1294479,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",1999,430610.17628617,430.61017628617,1292.3745909108,1.2923745909108,65.675615762482,.065675615762482,11.466943,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",2000,466403.11449405,466.40311449405,1279.587360281,1.279587360281,59.291044755459,.059291044755459,9.060833,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",2001,477110.97358974,477.11097358974,1270.7498289266,1.2707498289266,58.270156714701,.058270156714701,4.8523993,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",2002,494470.37924142,494.47037924142,1257.4220859557,1.2574220859557,46.280250471726,.046280250471726,7.7251425,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",2003,502986.01968267,502.98601968267,1250.1932766531,1.2501932766531,45.618230499069,.045618230499069,3.1472912,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",2004,519470.59953279,519.4705995327901,1277.128779052,1.277128779052,47.076237302135,.047076237302135,5.1973915,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",2005,515979.59274281,515.97959274281,1282.06310586,1.28206310586,46.078723440317,.046078723440317,4.3085427,0,638.7015680951337,638701.5680951338,9
KOR,"Korea, Republic of",2006,523700.88964933,523.70088964933,1304.945403782,1.304945403782,44.095632654483,.044095632654483,5.2643266,0,638.7015680951337,638701.5680951338,9
